Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
сообщила,~со*общ+и+л/а,~ s a2 * a1 p sc + i0 + l / a4,~ s a2 * a1 p sc + i0 + l / a4,7,"ctb1501,ktb1501,otd0190,atd0143,atd0190,atb1501"
сообщить,~со*общ+и/ть,~ s a2 * a1 p sc + i0 / t',~ s a2 * a1 p sc + i0 / t,3,"cta1066,ata1066"
сопровождаемые,~со~про*вожд+а+ем/ые,~ s a2 ~ p r a2 * v a1 zh d + a0 + - i4 m / y4 - i4,~ s e1 ~ p r a2 * v a1 zh d + a0 + e4 m / y4 i4,8,mta0190
сопротивление,~со*против+л+ени/е,~ s a2 * p r a2 t' i1 v + l' + e0 n' i4 - / i4,~ s a2 * p r a2 t' i1 v' + l' + e0 n' i4 / i4,8,ota0008
сопротивлялся,~со*против+л+я+л^ся,~ s a2 * p r a2 t' i1 v + l' + a0 + l ^ s' a4,~ s a2 * p r t' i1 v + l' + a0 + l ^ s' a4,3,atb1436
сорок,*сорок,* s a1 r o0 k,* s o0 r o4 k,39,ata0853
сорок,*сорок,* s o0 r a4 k,* s o0 r a4 k,39,"cta0189,ctb1434,gta0189,gte0191,kta0734,kta0745,kta0853,ktb1434,kta0189,ktc1231,sta0189,ata0189,atd0013,atd0180,atd0184,ata0734,ata0745,atb1434"
сороковки,*сорок+овк/и,* s a2 r a1 k + o0 f k' / i4,* s a2 r a1 k + o0 f k' / e4,8,"cta0332,gta0332,uta0332"
сорокового,*сорок+ов/ого,* s a2 r a2 k + a1 v / o0 v a4,* s a2 r a2 k + a1 v / o0 v o4,3,ata1071
сосед,~со*сед,~ s a1 * s' e0 t,~ s a1 * s' e0 t,17,"cta0534,cta0900,ctb0342,ctb1924,gtb0342,kta0534,kta0900,ktb1924,ktb0342,otb0342,utb0342,atb0342,ata0534,ata0900,atb1924"
соседей,~со*сед/ей,~ s a1 * s' e0 d' / i4 j,~ s a1 * s' e0 d' / e4 j,9,cta1012
соседи,~со*сед/и,~ s a1 * s' e0 d' / i4,~ s a1 * s' e0 d' / e4,17,gta0102
соседка,~со*сед+к/а,~ s a1 * s' e0 t + k / a4,~ s a1 * s' e0 t + k / a4,19,"kta0209,ota0209,ota0210,uta0209,uta0210,mta0210"
соседки,~со*сед+к/и,~ s a1 * s' e0 t + k' / i4,~ s a1 * s' e0 t + k' / i4,8,"cta0195,gta0195,kta0195,ota0195,sta0195,uta0195,ata0195,mta0195"
соседнего,~со*сед+н/его,~ s a1 * s' e0 d' + n' / i4 v a4,~ s a1 * s' e0 d + n' / e4 v a4,8,cta0181
соседней,*сосед+н/ей,* s a1 s' e0 d' + n' / i4 j,* s a1 s' e0 d' + n' / i4,8,mtb0332
соседнюю,~со*сед+н/юю,~ s a1 * s' e0 d' + n' / u4 j u4,~ s a1 * s' e0 d + n' / i4 j u4,10,atb1310
соседями,*сосед/ями,* s a1 s' e0 d' / i4 m' i4,* s a1 s' e0 d' / e4 m' e4,11,atb0121
сосен,*сосен,* s o0 s' i4 n,* s o0 s' e4 n,3,"kta0739,ata0739"
соскочили,~со*скоч+и+л/и,~ s a2 * s k a1 ch + i0 + l' / i4,~ s y1 * s k a1 ch + i0 + l' / i4,3,"ctb2028,ktb2028,atb2028"
сослуживцам,~со*служ+ив+ц/ам,~ s a2 * s l u1 zh + y0 f + c / a4 m,~ s a2 * s l u1 zh + y0 f + c / y4 m,3,ktb0997
сослуживцы,~со*служ+ив+ц/ы,~ s a2 * s l u1 zh + y0 f + c / y4,~ s a2 * s l u1 zh + y0 f + c / y4,3,kta0802
соснами,*сосн/ами,* s o0 s n / a4 m' i4,* s o0 s n / a4 m' i4,3,"cta0788,ata0788"
сосновая,*сосн+ов/ая,* s a1 s n + o0 v a4 / j a4,* s a1 s n + o0 v e4 / a4,3,kta0740
сосредоточенно,~со*средоточ+енн+о,~ s a2 * s r' i1 d a1 t o0 ch + i4 n + a4,~ s y1 * s r' i1 d a1 t o0 ch + i4 n + a4,3,kta0527
составлении,*составл+ени/и,* s a2 s t a1 v l' + e0 n' i4 / i4,* s a2 s t a1 v l' + e0 n' i4 /,8,mta0018
состоит,~со*сто/ит,~ s a2 * s t a1 / i0 t,~ s * s t a1 / i0 t,11,sta0201
состоялся,~со*сто+я+л^ся,~ s a2 * s t a1 + j a0 + l ^ s' a4,~ s y1 * s t a1 + e1 a0 + l ^ s' a4,3,ktb1806
состояние,~со*сто+я+ни/е,~ s a2 * s t a1 + j a0 + n' i4 - / i4,~ s a2 * s t a1 + j a0 + n' e4 /,17,gta0216
состоянии,~со*сто+я+ни/и,~ s a2 * s t a1 + j a0 + n' i4 / i4,~ s * s t a1 + j e0 + n' i4 / i4,8,utc0345
состоянию,~со*сто+я+ни/ю,~ s a2 * s t a1 + j a0 + n' i4 j / u4,~ s * s t a1 + j a0 + n' u4 / u4,6,utc0051
состояния,~со*сто+я+ни/я,~ s a2 * s t a1 + j a0 + n' i4 - / i4,~ s y1 * s t a1 + a0 + n' e4 / e4,7,gta0332
сосудов,~со*суд/ов,~ s a1 * s u0 d / a4 f,~ s a1 * s u0 d / y4 f,3,"ctb1733,ktb1733,atb1733"
сот,*сот,* s o0 t,* s o0 t,8,"cta0332,gta0332,kta0332,ota0332,sta0332,uta0332,ata0332,mta0332"
сотниковой,*сот+н+ик+ов/ой,* s o0 t' + n' + i4 k + a4 v / a4 j,* s o0 t + n' + i4 k + v / y4,8,mta0483
сотрудникам,~со*труд+ник/ам,~ s a1 * t r u0 d' + n' i4 k / a4 m,~ s a1 * t r u0 d + n' i4 k / y4 m,3,ktb0860
сохнет,*сох+н/ет,* s o0 h + n' / i4 t,* s o0 h + n' / e4 t,8,"cta0249,gta0249,kta0249,sta0249"
сохранившийся,~со*хран+и+вш/ий^ся,~ s a2 * h r a1 n' + i0 + f sh / y4 j ^ s' a4,~ s a2 * h r a1 n' + i0 + f sh / y4 ^ s' a4,3,ata1061
сохранилось,~со*хран+и+л/о^сь,~ s a2 * h r a1 n' + i0 + l / a4 ^ s',~ s y1 * h r a1 n' + i0 + l / y4 ^ s',3,"cta0774,kta0774,ata0774"
сочинением,*сочин+ени/ем,* s a2 ch i1 n' + e0 n' i4 j / i4 m,* s y1 ch i1 n' + e0 n' i4 / e4 m,3,ata0756
сочинения,~со*чин+ени/я,~ s a2 * ch i1 n' + e0 n' i4 j / a4,~ s y1 * ch i1 n' + e0 n' e4 / e4,3,ktb1942
сочинил,~со*чин+и+л,~ s a2 * ch i1 n' + i0 + l,~ s a2 * ch i1 n' + i0 + l,3,atb1470
сочинял,*сочин+я+л,* s a2 ch i1 n' + a0 + l,* s y1 ch i1 n' + a0 + l,3,"cta0759,kta0759,ata0759"
сочувствие,~со*чу+в+ств+и/е,~ s a1 * ch u0 + s t v' + i4 - / i4,~ s a1 * ch u0 + s t v' + e4 /,23,mta0284
сочувствием,~со*чу+в+ств+и/ем,~ s a1 * ch u0 + s t v' + i4 j / i4 m,~ s a1 * ch u0 + s t v' + i4 / e4 m,6,"cta0575,cta0814,kta0575,kta0814"
сошел,~со*ше+л,~ s a1 * sh o0 + l,~ s a1 * sh o0 + l,11,"cta0232,ctc0088,gta0232,kta0232,ktc0088,ota0232,sta0232,uta0232,utc0088,ata0232,mta0232"
сошелся,~со*ше+л^ся,~ s a1 * sh o0 + l ^ s' a4,~ s a1 * sh o0 + l ^ s e4,3,kta0851
сошлось,~со*ш+л/о^сь,~ s a1 * sh + l + o0 ^ s',~ s a1 * sh + l + o0 ^ s',3,"cta1072,kta1072,ata1072"
союзах,*союз/ах,* s a1 j u0 z / a4 h,* s a1 i1 u0 z / e4 h,3,ktb2004
спазм,*спазм,* s p a0 z m,* s p a0 z m,12,"ctb1641,ctb1643,ctb1658,ctb1659,ktb1641,ktb1643,ktb1658,ktb1659,atb1641,atb1643,atb1658,atb1659"
спазмы,*спазм/ы,* s p a0 z m / y4,* s p a0 s m / y4,11,ota0230
спал,*сп+а+л,* s p + a0 + l,* s p + a0 + l,14,"cta0164,cta0920,ctc0038,gta0164,kta0920,kta0164,ktc0038,ota0164,sta0164,uta0164,utc0038,ata0164,ata0920,mta0164"
спали,*сп+а+л/и,* s p + a0 + l' / i4,* s p + a0 + l' / e4,8,"cta0095,gta0095,uta0095,mta0095"
спасали,~с*пас+а+л/и,~ s * p a1 s + a0 + l' / i4,~ s * p a1 s + a0 + l' / e4,3,"ktb1121,atb1121"
спасался,~с*пас+а+л^ся,~ s * p a1 s + a0 + l ^ s' a4,~ s * p a1 s + a0 + l ^ s a4,3,kta0876
спасет,~с*пас/ет,~ s * p a1 s' / o0 d,~ s * p a1 s' / o0 d,8,"cta0267,gta0267,kta0267,ota0267,sta0267,uta0267,ata0267,mta0267"
спасибо,*спасибо,* s p a1 s' i0 b a4,* s p a1 s' i0 b a4,41,"ctb0685,ctc0414,ctc0632,ctc1283,ctc1346,ctc1499,ctc1570,gtb0685,ktc0632,ktc0859,ktc1283,ktc1346,ktc1365,ktc1570,stb0685,utb0685,utc0632,utc0859,utc1283,utc1346,utc1570,atb0685"
спасительный,~с*пас+и+тель+н/ый,~ s * p a1 s' + i0 + t' i4 l' + n / y4 j,~ s * p a1 s' + i0 + t' i4 l' + n / y4,8,"cta0271,kta0271,ota0271,sta0271,ata0271"
спать,*сп+а/ть,* s p + a0 / t',* s p + a0 / t,10,ctb1463
спектакль,*спектакль,* s p' i1 k t a0 k l',* p' i1 k t a0 k l',19,mtb0634
спертый,~с*пер+т/ый,~ s * p' o0 r + t / y4 j,~ s * p' o0 r + t / y4,8,"gta0271,kta0271,ota0271,sta0271,uta0271,ata0271"
специалиста,*специал+ист/а,* s p' i1 c y1 a1 l' + i0 s t / a4,* s p i1 c e1 a1 l' + i0 s t / a4,10,stb0216
специально,*специаль+н+о,* s p' i1 c y1 a0 l' + n + a4,* s p' e1 c a0 l' + n + a4,11,stb0342
специального,*специаль+н/ого,* s p' i1 c y1 a0 l' + n / a4 v a4,* s p' i1 c a0 l' + n / a4 v,7,mta0018
спешил,*спеш+и+л,* s p' i1 sh + y0 + l,* s p' i1 sh + y0 + l,3,"ctb2050,ktb2050,atb2050"
спинке,*спин+к/е,* s p' i0 n + k' / i4,* s p' i0 n + k' / e4,6,ctb1639
спиной,*спин/ой,* s p' i1 n / o0 j,* s p' e1 n / o0 j,19,gta0037
спиреи,*спире/и,* s p' i1 r' e0 / i4,* s p' i1 r' e0 / i4,3,"cta0977,kta0977,ata0977"
спит,*сп/ит,* s p' / i0 t,* s p' / i0 t,11,"cta0164,gta0164,kta0164,ota0164,sta0164,uta0164,ata0164,mta0164"
сплетня,~с*плет+н/я,~ s * p l' e0 t' + n' / a4,~ s * p l' e0 t + n' / i1,8,mtb0718
спокойна,~с*покой+н/а,~ s * p a1 k o0 j + n / a4,~ s * p a1 k o0 i4 + n / a4,3,ctb1129
спокойная,~с*покой+н/ая,~ s * p a1 k o0 j + n / a4 j i1,~ s * p a1 k o0 j + n / a4 e4,8,mtb0699
спокойнее,~с*покой+н+ее,~ s * p a1 k o0 j + n' + i4 j i4,~ s * p a1 k o0 j + n' + i4 e4,3,ctb0912
спокойно,~с*поко+й+н+о,~ s * p a1 k o0 + j + n + a4,~ s * p a1 k o0 + e4 + n +,33,utc0434
спокойное,~с*поко+й+н/ое,~ s * p a1 k o0 + j + n / a4 j i4,~ s * p a1 k o0 + j + n / y4 e4,1,cta1114
спокойствие,~с*поко+й+ств+и/е,~ s * p a1 k o0 + j + s t v' + i4 j / i4,~ s * p a1 k o0 + i4 + s t v' + i4 / i4,3,cta0560
споривших,*спор+и+вш/их,* s p o0 r' + i4 + f sh / y4 h,* s p o0 r' + i4 + f sh / y4 h,3,"cta0747,kta0747,ata0747"
спорить,*спор+и/ть,* s p o0 r' + i4 / t',* s p o0 r' + i4 / c,11,"gtb0352,stb0352,atb0352,mtb0352"
спорта,*спорт/а,* s p o0 r t / a4,* s p o0 r t /,10,mtb0078
спортивная,*спорт+ив+н/ая,* s p a1 r t' + i0 v + n / a4 j a4,* s p a1 r t' + i0 v + n / a4 e4,8,"ctb0551,gtb0551"
спортивного,*спорт+ив+н/ого,* s p a1 r t' + i0 v + n / a4 v a4,* s p a1 r t' + i0 v + n / a4 v a4,6,"ctc0405,kta0743,ktc0405"
спортивной,*спорт+ив+н/ой,* s p a1 r t' + i0 v + n / a4 j,* s p a1 r t' + i0 v + n / y4,22,"gtb0762,ktb0548,ktb0762,otb0548,otb0762,stb0548,stb0762,utb0762,atb0906,atb2088,mtb0548,mtb0762"
спортивном,*спорт+ив+н/ом,* s p a1 r t' + i0 v + n / a4 m,* s p a1 r t' + i0 v + n / a4 m,6,"ctb1246,ktb1246"
спортивный,*спорт+ив+н/ый,* s p a1 r t' + i0 v + n / y4 j,* s p a1 r t' + i0 v + n / y4 j,3,"ktb1244,atb1244"
спортивных,*спорт+ив+н/ых,* s p a1 r t' + i0 v + n / y4 h,* s p a1 r t' + i0 v + n / y4 h,3,"cta1074,kta1074,ata1074"
спортом,*спорт/ом,* s p o0 r t / a4 m,* s p o0 r t / a4 m,19,"ctb0551,gtb0076,gtb0551,ktb0812,ktb0076,ktb0551,otb0076,otb0551,stb0076,utb0076,utb0551,atb0076,atb0812,mtb0551"
спортсмен,*спортсмен,* s p a1 r c m' e0 n,* s p a1 r c m' e0 n,3,"ctb1594,ktb1594,atb1594"
спортсменка,*спортсмен+к/а,* s p a1 r c m' e0 n + k / a4,* s p a1 r c m' e0 n + k / a4,3,"ctb1250,ktb1250"
спорю,*спор/ю,* s p o0 r' / u4,* s p o0 r' / u4,8,"ctb0048,gtb0048,ktb0048,otb0048,stb0048,utb0048,atb0048,mtb0048"
способен,*способ+ен,* s p a1 s o0 b' + i4 n,* s p a1 s o0 b' + e4 n,9,"ctb2010,gte0012,ktb2010,ste0012,ste0213"
способностей,*способ+н+ост/ей,* s p a1 s o0 b + n + a4 s' t' / i4 j,* p a1 s o0 b + n' + y4 s' t' / i4,8,mtb0169
способны,*способ+н/ы,* s p a1 s o0 b + n / y4,* s p a1 s o0 b + n / y4,12,"ctb0168,gtb0168,gte0099,gte0377,ktb0168,otb0168,stb0168,ste0099,ste0377,utb0168,atb0168,mtb0168"
способный,*способ+н/ый,* s p a1 s o0 b + n / y4 j,* s p a1 s o0 b + n / y4,11,"ctb0456,ctc1420,ktb0456,ktc1420,otb0456,stb0456,utb0456,utc1420"
спотыкаясь,~с~по*тык+а+я^сь,~ s ~ p a2 * t y1 k + a0 + j i4 ^ s',~ s ~ p o1 * t y1 k + a0 + e4 ^ s',3,"ktb2050,atb2050"
спохватился,~с~по*хват+и+л^ся,~ s ~ p a2 * h v a1 t' + i0 + l ^ s' a4,~ s ~ p a2 * h v a1 t' + i0 + l ^ s' a4,3,atb1976
справа,~с*прав/а,~ s * p r a0 v / a4,~ s * p r a0 v / a4,3,"cta0740,kta0740,ata0740"
справится,~с*прав/ит^ся,~ s * p r a0 v' / i4 c ^ - a4,~ s * p r a0 v' / e4 c ^ a4,10,gta0315
спрашивает,~с*праш+ива/ет,~ s * p r a0 sh + y4 v a4 / - i4 t,~ s * p r a0 sh + v y4 / y4 t,14,mtb0788
спрашиваете,~с*праш+ива/ете,~ s * p r a0 sh + y4 v a4 j / i4 t' i4,~ s * p r a0 sh + y4 v y4 / i4 t' i4,2,ata0880
спрашивал,~с*праш+ива+л,~ s * p r a0 sh + y4 v a4 + l,~ s * p r a0 sh + a4 v a4 + l,21,"ctb0664,ctb1318"
спрашивала,~с*праш+ива+л/а,~ s * p r a0 sh + y4 v a4 + l / a4,~ s * p r a0 sh + o4 v o4 + l / o4,14,atb0305
спрашивали,~с*праш+ива+л/и,~ s * p r a0 sh + y4 v a4 + l' / i4,~ s * p r a0 sh + v u4 + l' / i4,3,ktb1898
спрашивать,~с*праш+ива/ть,~ s * p r a0 sh + y4 v a4 / t',~ s * p r a0 sh + e4 v a4 / t',11,ctb0949
спрашивают,~с*праш+ива/ют,~ s * p r a0 sh + y4 v a4 / j u4 t,~ s * p r a0 sh + u4 v u4 / u4 t,11,ata1084
спрашивая,~с*праш+ива+я,~ s * p r a0 sh + y4 v a4 - + i4,~ s * p r a0 sh + v o4 + e4,7,gta0366
спроса,~с*прос/а,~ s * p r o0 s / a4,~ s * p r o0 s / a4,3,"ctb1301,ktb1301,atb1301"
спросил,~с*прос+и+л,~ s * p r a1 s' + i0 + l,~ c * p r a1 s' + i0 + l,110,mtb0527
спросила,~с*прос+и+л/а,~ s * p r a1 s' + i0 + l / a4,~ s * p r a1 s' + i0 + l / a4,96,"cta0345,cta0410,cta0570,cta1154,ctb0720,ctb1274,ctb1297,ctb1600,ctb1623,ctb1835,ctb1985,gta0345,gta0410,gtb0720,kta0570,kta0609,kta0700,ktb1274,ktb1290,ktb1297,ktb1336,ktb1600,ktb1623,ktb1835,ktb1985,kta0345,kta0410,ktb0320,ktb0720,ota0345,ota0410,otb0720,sta0345,sta0410,stb0421,stb0636,stb0720,uta0345,uta0410,utb0720,ata0345,atb0421,atb0720,ata0570,ata0700,ata1025,atb1297,atb1835,atb1985,mta0345,mtb0720"
спросит,~с*прос/ит,~ s * p r o0 s' / i4 t,~ s * p r o0 s' / i4 t,6,"cta0878,kta0878,kta0883,ata0878,ata0883"
спросить,~с*прос+и/ть,~ s * p r a1 s' + i0 / t',~ s * p r a1 s' + i0 / t,20,"ctb0875,ctb1432,ktb0875"
спрятал,~с*прят+а+л,~ s * p r' a0 t + a4 + l,~ s * p r' a0 t + a4 + l,3,ata0671
спускайся,~с*пуск/ай^ся,~ s * p u1 s k / a0 j ^ s' a4,~ s * p u1 s k / a0 e4 ^ s' e4,7,mta0462
спускаюсь,~с*пуск+а/ю^сь,~ s * p u1 s k + a0 / j u4 ^ s',~ s * p u1 s k + a0 / e4 ^ s',8,"ctb0119,gtb0119,ktb0119"
спустилась,~с*пуст+и+л/а^сь,~ s * p u1 s' t' + i0 + l / a4 ^ z',~ s * p u1 s' t' + i0 + l / e4 ^ z',8,"ktb0265,stb0265,mtb0265"
спустились,~с*пуст+и+л/и^сь,~ s * p u1 s' t' + i0 + l' / i4 ^ s',~ s * p u1 s' t' + i0 + l' / i4 ^ s',3,"cta0948,kta0948,ata0948"
спустился,~с*пуст+и+л^ся,~ s * p u1 s' t' + i0 + l ^ s' a4,~ s * p u1 s' t' + i0 + l ^ s a4,11,"cta0785,ata0785"
спутать,~с*пут+а/ть,~ s * p u0 t + a4 / d',~ s * p u0 t + y4 / d',3,"ctb2041,ktb2041,atb2041"
спят,*сп/ят,* s p' / a0 t,* s p' / a0 t,8,"cta0156,gta0156,kta0156,ota0156,sta0156,uta0156,ata0156,mta0156"
спящего,*сп+ящ/его,* s p' + a0 sc / i4 v a4,* s p' + a0 sc / e4 v e4,8,gta0165
сравнении,~с*равн+ени/и,~ s * r a1 v n' + e0 n' i4 / i4,~ s * r a1 v n' + e0 n' i4 /,21,ktb1858
сравнивал,~с*равн+ива+л,~ s * r a0 v n' + i4 v a4 + l,~ s * r a0 v n' + i4 v a4 + l,3,ctb1017
сравнивать,~с*рав+н+ива/ть,~ s * r a0 v + n' + i4 v a4 / t',~ s * r a0 v + n' + i4 v a4 / t',8,"sta0292,mta0292"
сражения,~с*раж+ени/я,~ s * r a1 zh + e0 n' i4 j / a4,~ s * r a1 zh + e0 n' e4 / e4,3,ata0501
сразу,~с*раз+у,~ s * r a0 z + u4,~ s * r a0 s + u4,231,"ota0466,otb0686,otb0708,otb0789,otb0796,otd0091,otd0146,otd0161,otd0310,uta0466,ata0951"
среднего,*сред+н/его,* s r' e0 d' + n' / i4 v a4,* s r' e0 d + n' / i4 v a4,11,"ktb0945,atb0945"
средней,*сред+н/ей,* s r' e0 d' + n' / i4 j,* s r' e0 d + n' / i4,6,"kta0918,ata0972"
средство,*сред+ств/о,* s r' e0 + c t v / a4,* s r' e0 + c t v / a4,12,"cta0267,gte0087,kta0267,ota0267,sta0267,ata0267"
срок,*срок,* s r o0 k,* s r o0 k,11,"ctb1501,ktb1501,otd0073,otd0083,otd0142,otd0273,atd0073,atd0083,atd0142,atd0273,atb1501"
срока,*срок/а,* s r o0 k / a4,* s r o0 k / a4,10,"cta0485,gta0485,kta0485,ota0485,otd0078,sta0485,uta0485,ata0485,atd0078,mta0485"
сроки,*срок/и,* s r o0 k' / i4,* s r o0 k' / e4,12,stb0240
срочно,*сроч+н+о,* s r o0 ch + n + a4,* s r o0 ch + n + a4,27,"cta0005,cta0447,ktb1470,kta0447,ota0005,ota0447,ata0005,ata0447,atb1470,mta0005,mta0447"
срочную,*сроч+н/ую,* s r o0 ch + n / u4 j u4,* s r o0 ch + n / u4 j o4,8,ctb0323
ссора,~с*сор/а,* s s o0 r / a4,* s o0 r / a4,3,"ctb1807,ktb1807"
ссорах,*ссор/ах,* s s o0 r / a4 h,* s o0 r / a4 h,3,"kta0770,ata0770"
ссоре,~с*сор/е,* s s o0 r' / i4,* s o0 r' / e4,6,ctb1279
ссорился,*ссор+и+л^ся,* s s o0 r' + i4 + l ^ s' i4,* s s o0 r' + o4 + ^ s a4,8,gta0332
ссоры,*ссор/ы,* s s o0 r / y4,* s o0 r / y4,5,"cta0769,gte0236,kta0769,ste0236,ata0769"
ссутулилась,~с*сутул+и+л/а^сь,* s s u1 t u0 l' + i4 + l / a4 ^ s',* s u1 t u0 l' + i4 + l / e4 ^ s',8,"ktb0762,mtb0762"
ссылался,~с*сыл+а+л^ся,* s s y1 l + a0 + l ^ s' a4,* s y1 l + a0 + l ^ s' a4,3,cta1062
ссылаться,~с*сыл+а/ть^ся,* s s y1 l + a0 ^ c a4,* s y1 l + a0 ^ c a4,5,"ctb2021,ktb2021,atd0167,atb2021"
ставил,*став+и+л,* s t a0 v' + i4 + l,* s t a0 v' + i4 + l,3,"ctb1563,ktb1563,atb1563"
ставит,*став/ит,* s t a0 v' / i4 t,* s t a0 v' / i4 t,21,"cta0959,kta0959,otd0249,atd0249,ata0959"
ставьте,*ставь/те,* s t a0 f' / t' i4,* s t a0 f / t' i4,6,"kta0969,kta0969"
стадион,*стадион,* s t a2 d' i1 o0 n,* s t a2 d' u1 o0 n,9,atb0814
стадионе,*стадион/е,* s t a2 d' i1 o0 n' / i4,* s t a2 d' i1 o0 n' / i4,6,"ktb1438,atb1438,atb2083"
стал,*ста+л,* s t a0 + l,* s t a0 +,180,utc0771
стала,*ста+л/а,* s t a0 + l / a4,* s t a0 + l / a4,56,"cta1144,ctb1023,ctb1618,gta0004,kta0595,kta0760,ktb1023,kta0141,kta0396,ota0008,ota0396,otd0175,sta0004,sta0141,uta0004,uta0396,ata0396,atd0175,ata0596,ata0760,atb1023,atb1254,mta0004,mta0141,mta0396"
стали,*ста+л/и,* s t a0 + l' / i4,* s t a0 + l' / i4,16,"cta0849,cta1159,ctb0894,ctb1425,ctb1801,kta0849,ktb0894,ktb1425,ktb1801,otd0121,otd0340,atd0121,ata0849,atb0894,atb1425,atb1801"
стало,*ста+л/о,* s t a0 + l / a4,* s t a0 + l / a4,95,"cta0282,cta0287,cta1111,ctb0472,ctb0604,ctb0761,ctb0763,ctb1815,gta0282,gta0287,gtb0472,gtb0604,gte0136,gte0220,ktb1325,ktb1384,ktb1815,ktb1926,kta0235,kta0282,kta0287,ktb0604,ktb0714,ktb0761,ktb0763,ktc0447,ota0282,otb0472,otb0604,otb0761,otb0763,otd0068,sta0282,stb0472,stb0604,stb0714,stb0761,stb0763,ste0136,ste0220,ata0235,atb0472,atd0068,ata0746,atb1384,atb1667,atb1815,atb1926,mta0235,mta0282,mta0287,mtb0472,mtb0604,mtb0714,mtb0761"
станет,*стан/ет,* s t a0 n' / i4 t,* s t a0 n' / e4 t,27,"ctb0510,stb0075,utb0075,utb0510,atd0287"
станете,*ста+н/ете,* s t a0 + n' / i4 t' i4,* s t a0 + n' / i4 t' e4,8,uta0238
становились,*ста+н+ов+и+л/и^сь,* s t a2 + n + a1 v' + i0 + l' / i4 ^ s',* s t a2 + n + a1 v' + i0 + l' / i4 ^ s',11,"gta0184,kta0184,sta0184,ata0184,mta0184"
становилось,*ста+н+ов+и+л/о^сь,* s t a2 + n + a1 v' + i0 + l / a4 ^ s',* s t a2 + n + a1 v' + i0 + l / y4 ^ s',6,atb0886
становился,*ста+н+ов+и+л^ся,* s t a2 + n + a1 v' + i0 + l ^ s' i4,* s t + n + a1 v' + i0 + l ^ s,8,gta0301
становится,*стан+ов/ит^ся,* s t a1 n + o0 v' / i4 ^ c a4,* s t a1 n + o0 / i4 ^ c y4,34,stb0215
становятся,*стан+ов/ят^ся,* s t a1 n + o0 v' / i4 ^ c a4,* s t a1 n + o0 / u4 ^ c y4,12,gte0362
стану,*ста+н/у,* s t a0 + n / u4,* s t a0 + n / u4,8,"cta0012,gta0012,kta0012,ota0012,sta0012,uta0012,ata0012,mta0012"
станции,*станци/и,* s t a0 n c y4 / i4,* s t a0 n c y4 / i4,9,"cta0730,cta0935,kta0730,kta0739,kta0935,ata0730,ata0739,ata0935"
станцию,*станц+и/ю,* s t a0 n c + y4 j / u4,* s t a0 n c + u4 /,7,mta0148
стар,*стар,* s t a0 r,* s t a0 r,9,"cta0876,cta1062,ctb1714,kta0876,kta1062,ktb1714,ata0876,ata1062,atb1714"
старается,*стара/ет^ся,* s t a1 r a0 / - i4 c ^ - a4,* s t a1 r a0 / e4 c ^ y4,13,mta0202
старалась,*стара+л+а^сь,* s t a1 r a0 + l + a4 ^ s',* s t a1 r a0 + l + a4 ^ s',11,"gta0134,sta0134,ata0134,mta0134"
старался,*стара+л^ся,* s t a1 r a0 + l ^ s' i4,* s t a1 r a0 + l ^ s' e4,11,"gta0195,sta0195"
стараться,*стара/ть^ся,* s t a1 r a0 / c ^ c a4,* s t a1 r a0 / t ^ c a4,8,cta0320
стараюсь,*стар+а/ю^сь,* s t a1 r + a0 / j u4 ^ s',* s t a1 r + a0 / e4 ^ s',5,ktb1830
стараясь,*стара+я^сь,* s t a1 r a0 + - i4 ^ s',* s t a1 r a0 + i4 ^ s',8,ota0098
старей,*стар+е+й,* s t a1 r' + e0 + j,* s t a1 r' + e0 + i4,8,"gtb0102,ktb0102,atb0102,mtb0102"
стареть,*стар+е/ть,* s t a1 r' + e0 / t',* s t a1 r' + e0 / t',3,"ctb1841,ktb1841,atb1841"
старик,*стар+ик,* s t a1 r' + i0 k,* s t a1 r' + i0 k,10,"cta1122,ctc0069,ctc1519,ktc0069,utc0069,utc1519"
стариков,*стар+ик/ов,* s t a2 r' + i1 k / o0 f,* s t y1 r' + i1 k / o0 f,3,"cta1062,kta1062,ata1062"
стариковским,*стар+ик+ов+ск/им,* s t a2 r' + i1 k + o0 f + s k' / i4 m,* s t y1 r' + i1 k + o0 f + s k' / i4 m,1,cta1149
старичком,*стар+ич+к/ом,* s t a2 r' + i1 ch + k / o0 m,* s t y1 r' + i1 ch + k / o0 m,3,"cta1066,kta1066"
старичок,*стар+ич+ок,* s t a2 r' + i1 ch + o0 k,* s t a1 r' + i1 ch + o0 k,33,ata0433
старое,*стар/ое,* s t a0 r / a4 j i4,* s t a0 r / y4 e4,1,cta1143
старом,*стар/ом,* s t a0 r / a4 m,* s t a0 r / a4 m,6,"cta0736,kta0736,ktb0884,atb0884"
старух,*стар/ух,* s t a1 r / u0 h,* s t a1 r / u0 h,8,"cta0271,gta0271,kta0271,ota0271,sta0271,uta0271,ata0271,mta0271"
старуха,*стар+ух/а,* s t a1 r + u0 h / a4,* s t a1 r + u0 h / a4,19,"cta0103,kta0103,ata0103,mta0103,mta0104"
